y (m), ux (m/s)
0.000000000000000000e+00,-6.629015408970620803e-18
1.666666666666666774e-03,6.482583898019841917e-02
3.333333333333333547e-03,1.275453094828448708e-01
5.000000000000000104e-03,1.881584115079392716e-01
6.666666666666667095e-03,2.466651450554817604e-01
8.333333333333333218e-03,3.030655101254721151e-01
1.000000000000000021e-02,3.574482263878172028e-01
1.166666666666666720e-02,4.099079086073263989e-01
1.333333333333333419e-02,4.604445567839997033e-01
1.500000000000000118e-02,5.090581709178372272e-01
1.666666666666666644e-02,5.557487510088385818e-01
1.833333333333333343e-02,6.006045723700838002e-01
2.000000000000000042e-02,6.437206305939435769e-01
2.166666666666666741e-02,6.850969256804180230e-01
2.333333333333333440e-02,7.247334576295070274e-01
2.500000000000000139e-02,7.626302264412105902e-01
2.666666666666666838e-02,7.988751343201174748e-01
2.833333333333333537e-02,8.335635624746492445e-01
3.000000000000000236e-02,8.666955109048060102e-01
3.166666666666666935e-02,8.982709796105876610e-01
3.333333333333333287e-02,9.282899685919939747e-01
3.500000000000000333e-02,9.568399166832957103e-01
3.666666666666666685e-02,9.840166892975720225e-01
3.833333333333333731e-02,1.009820286434823355e+00
4.000000000000000083e-02,1.034250708095049154e+00
4.166666666666667129e-02,1.057307954278249529e+00
4.333333333333333481e-02,1.079078867512067941e+00
4.500000000000000527e-02,1.099659941700529719e+00
4.666666666666666879e-02,1.119051176843634643e+00
4.833333333333333925e-02,1.137252572941382711e+00
5.000000000000000278e-02,1.154264129993774146e+00
5.166666666666667324e-02,1.170171893057289747e+00
5.333333333333333676e-02,1.185073205148873043e+00
5.500000000000000028e-02,1.198968066268523369e+00
5.666666666666667074e-02,1.211856476416241168e+00
5.833333333333333426e-02,1.223738435592025775e+00
6.000000000000000472e-02,1.234698864721338829e+00
6.166666666666666824e-02,1.244836319761054799e+00
6.333333333333333870e-02,1.254150800711174796e+00
6.500000000000000222e-02,1.262642307571697708e+00
6.666666666666666574e-02,1.270310840342624203e+00
6.833333333333334314e-02,1.277239607118002995e+00
7.000000000000000666e-02,1.283529048750092105e+00
7.166666666666667018e-02,1.289179165238892422e+00
7.333333333333333370e-02,1.294189956584402834e+00
7.500000000000001110e-02,1.298561422786624453e+00
7.666666666666667462e-02,1.302373793678734293e+00
7.833333333333333814e-02,1.305730906370752731e+00
8.000000000000000167e-02,1.308632760862679767e+00
8.166666666666666519e-02,1.311079357154515401e+00
8.333333333333334259e-02,1.313070695246259856e+00
8.500000000000000611e-02,1.314680208865492084e+00
8.666666666666666963e-02,1.316020045284331585e+00
8.833333333333333315e-02,1.317090204502778139e+00
9.000000000000001055e-02,1.317890686520832189e+00
9.166666666666667407e-02,1.318421491338493068e+00
9.333333333333333759e-02,1.318735371937893142e+00
9.500000000000000111e-02,1.318967366314322209e+00
9.666666666666667851e-02,1.319117474467780493e+00
9.833333333333334203e-02,1.319185696398268215e+00
1.000000000000000056e-01,1.319172032105785153e+00
1.016666666666666691e-01,1.319185696392511709e+00
1.033333333333333465e-01,1.319117474467130791e+00
1.050000000000000100e-01,1.318967366329642843e+00
1.066666666666666735e-01,1.318735371980046756e+00
1.083333333333333370e-01,1.318421491418343416e+00
1.100000000000000006e-01,1.317890686625428076e+00
1.116666666666666780e-01,1.317090204628917682e+00
1.133333333333333415e-01,1.316020045428811791e+00
1.150000000000000050e-01,1.314680209025110402e+00
1.166666666666666685e-01,1.313070695417813960e+00
1.183333333333333459e-01,1.311079357334240303e+00
1.200000000000000094e-01,1.308632761047518578e+00
1.216666666666666730e-01,1.305730906557648119e+00
1.233333333333333365e-01,1.302373793864629370e+00
1.250000000000000000e-01,1.298561422968461665e+00
1.266666666666666774e-01,1.294189956759663307e+00
1.283333333333333548e-01,1.289179165405668570e+00
1.300000000000000044e-01,1.283529048906477898e+00
1.316666666666666818e-01,1.277239607262090626e+00
1.333333333333333315e-01,1.270310840472507197e+00
1.350000000000000089e-01,1.262642307686295151e+00
1.366666666666666863e-01,1.254150800810013067e+00
1.383333333333333359e-01,1.244836319843660721e+00
1.400000000000000133e-01,1.234698864787238115e+00
1.416666666666666630e-01,1.223738435640745470e+00
1.433333333333333404e-01,1.211856476448164965e+00
1.450000000000000178e-01,1.198968066284497258e+00
1.466666666666666674e-01,1.185073205149743014e+00
1.483333333333333448e-01,1.170171893043901346e+00
1.500000000000000222e-01,1.154264129966972474e+00
1.516666666666666718e-01,1.137252572902726522e+00
1.533333333333333492e-01,1.119051176794878089e+00
1.549999999999999989e-01,1.099659941643427619e+00
1.566666666666666763e-01,1.079078867448374668e+00
1.583333333333333537e-01,1.057307954209719458e+00
1.600000000000000033e-01,1.034250708023872090e+00
1.616666666666666807e-01,1.009820286363015018e+00
1.633333333333333304e-01,9.840166892271494659e-01
1.650000000000000078e-01,9.568399166162742109e-01
1.666666666666666852e-01,9.282899685303899195e-01
1.683333333333333348e-01,8.982709795564673971e-01
1.700000000000000122e-01,8.666955108595951751e-01
1.716666666666666896e-01,8.335635624397743637e-01
1.733333333333333393e-01,7.988751342970050739e-01
1.750000000000000167e-01,7.626302264312863066e-01
1.766666666666666663e-01,7.247334576337640666e-01
1.783333333333333437e-01,6.850969256986599865e-01
1.800000000000000211e-01,6.437206306259757316e-01
1.816666666666666707e-01,6.006045724157114130e-01
1.833333333333333481e-01,5.557487510678659204e-01
1.850000000000000255e-01,5.090581709890590334e-01
1.866666666666666752e-01,4.604445568644466857e-01
1.883333333333333526e-01,4.099079086940265459e-01
1.900000000000000022e-01,3.574482264778000573e-01
1.916666666666666796e-01,3.030655102157655545e-01
1.933333333333333570e-01,2.466651451414700047e-01
1.950000000000000067e-01,1.881584115827461823e-01
1.966666666666666841e-01,1.275453095395928105e-01
1.983333333333333337e-01,6.482583901201174892e-02
2.000000000000000111e-01,1.060309719837323390e-15
