y, u_normal, u_tangential
0.000000000000000000e+00,-2.354641691856952715e-17,3.334028356919190910e-18
1.005025125628140805e-03,6.997417047502978160e-02,1.565969492189227480e-03
2.010050251256281610e-03,1.113703729938469444e-01,2.306731027329712077e-03
3.015075376884422415e-03,1.241886075564514608e-01,2.222284605421452706e-03
4.020100502512563220e-03,1.084288741628433306e-01,1.312630226464446982e-03
5.025125628140704459e-03,6.668779529442248055e-02,-4.357931440047811559e-04
6.030150753768844830e-03,1.031397683243440028e-01,-2.558869923538375623e-03
7.035175879396985202e-03,1.217508330662698396e-01,-3.596062187808191004e-03
8.040201005025126441e-03,1.225209895202000049e-01,-3.547369936814229793e-03
9.045226130653267679e-03,1.054502376861344293e-01,-2.412793170556492423e-03
1.005025125628140892e-02,7.481835279173458531e-02,-2.178569763885634209e-04
1.105527638190954842e-02,1.078635297114658442e-01,1.540804991776703083e-03
1.206030150753768966e-02,1.234530188699852205e-01,2.409766557971038982e-03
1.306532663316583090e-02,1.215868202672926446e-01,2.389027722194439832e-03
1.407035175879397040e-02,1.022649339033881860e-01,1.478588484446909318e-03
1.507537688442211164e-02,7.212503930637069460e-02,-3.190624074413876514e-04
1.608040201005025288e-02,1.063693689301046796e-01,-2.022764619902485059e-03
1.708542713567839239e-02,1.231118671685771659e-01,-2.843228583495257047e-03
1.809045226130653536e-02,1.223525340217881813e-01,-2.780454298219705786e-03
1.909547738693467486e-02,1.040913694897377534e-01,-1.834441764075837129e-03
2.010050251256281784e-02,7.688799336883864188e-02,-5.466843322749189772e-05
2.110552763819095734e-02,1.092343578460809456e-01,1.294199806956033679e-03
2.211055276381909684e-02,1.241061524211327233e-01,1.946585804992611007e-03
2.311557788944723982e-02,1.215033770939938640e-01,1.902489560882236102e-03
2.412060301507537932e-02,1.014260318646644093e-01,1.161911074624908530e-03
2.512562814070351883e-02,7.490747427785368617e-02,-2.506220230198240436e-04
2.613065326633166180e-02,1.081125096796913820e-01,-1.443887856477326162e-03
2.713567839195980130e-02,1.237801486511137389e-01,-2.010869548050826707e-03
2.814070351758794081e-02,1.219103911921209371e-01,-1.951567097740332293e-03
2.914572864321608378e-02,1.025032373027128380e-01,-1.265980505545840967e-03
3.015075376884422328e-02,7.848756703102355292e-02,-2.872011501406260096e-05
3.115577889447236626e-02,1.102254714592247054e-01,8.032268730186294852e-04
3.216080402010050576e-02,1.244734881947688471e-01,1.202665659251142072e-03
3.316582914572864527e-02,1.212316172376562140e-01,1.169596243683481990e-03
3.417085427135678477e-02,1.004998585878867645e-01,7.040186263156486979e-04
3.517587939698493121e-02,7.765096166920470999e-02,-1.469706055203014183e-04
3.618090452261307072e-02,1.097449406747543071e-01,-7.648246731888416880e-04
3.718592964824121022e-02,1.242830415523058091e-01,-1.060094862459384649e-03
3.819095477386934973e-02,1.212652643018592713e-01,-1.032781173331930816e-03
3.919597989949748923e-02,1.006916089234146383e-01,-6.828836058064796481e-04
4.020100502512563567e-02,7.992315446702305537e-02,-1.029958672746158241e-04
4.120603015075377518e-02,1.110777044889189324e-01,1.602820243281638675e-04
4.221105527638191468e-02,1.247339870596225753e-01,2.981123013943953975e-04
4.321608040201005418e-02,1.208920021791339561e-01,3.104949639240781154e-04
4.422110552763819369e-02,9.955174984745306099e-02,1.974300119172121566e-04
4.522613065326633319e-02,8.036076600544603266e-02,1.822570142160639408e-05
4.623115577889447964e-02,1.113051077100955938e-01,-8.359943500657006219e-06
4.723618090452261914e-02,1.246838300930412369e-01,-3.993232613279077304e-05
4.824120603015075864e-02,1.204969331542832672e-01,-7.649144647479540443e-05
4.924623115577889815e-02,9.874441689382168486e-02,-1.180373045266711681e-04
5.025125628140703765e-02,8.128282488726196187e-02,-2.584693479154547956e-04
5.125628140703518409e-02,1.118629850481662330e-01,-5.601689418748127293e-04
5.226130653266332360e-02,1.249379111071280135e-01,-6.661872255113714548e-04
5.326633165829146310e-02,1.205076030641475948e-01,-5.765241988251363931e-04
5.427135678391960261e-02,9.857206091922497693e-02,-2.911798618161062432e-04
5.527638190954774211e-02,8.299389987857842821e-02,2.417409929692931881e-04
5.628140703517588161e-02,1.127800234835117099e-01,7.722747058570662501e-04
5.728643216080402806e-02,1.249965800442429109e-01,9.731829211420059411e-04
5.829145728643216756e-02,1.196435695607718508e-01,8.444656388241106619e-04
5.929648241206030707e-02,9.672099203309865445e-02,3.861228589033817134e-04
6.030150753768844657e-02,8.263391670536324174e-02,-4.723585697491118011e-04
6.130653266331658607e-02,1.126261086243416087e-01,-1.284554890289608779e-03
6.231155778894473252e-02,1.251056658907910013e-01,-1.594928567383145038e-03
6.331658291457287202e-02,1.200725885047112806e-01,-1.403479601029720145e-03
6.432160804020101152e-02,9.752687646610254391e-02,-7.102079912293401704e-04
6.532663316582915103e-02,8.550145533317807245e-02,5.034498125540609256e-04
6.633165829145729053e-02,1.141482507524697876e-01,1.511613186791125728e-03
6.733668341708543004e-02,1.252259906878759321e-01,1.895754465620417151e-03
6.834170854271356954e-02,1.187346751393965061e-01,1.655873649041934544e-03
6.934673366834170904e-02,9.467430410703153720e-02,7.919707370556779060e-04
7.035175879396986243e-02,8.403155259668584898e-02,-7.140811014497198093e-04
7.135678391959800193e-02,1.133988500553779893e-01,-1.939745448829076433e-03
7.236180904522614143e-02,1.252451250658870308e-01,-2.399693074645988227e-03
7.336683417085428094e-02,1.195703776282129455e-01,-2.093923978900449987e-03
7.437185929648242044e-02,9.637460774235570571e-02,-1.022438161592459328e-03
7.537688442211055995e-02,8.783990888948162157e-02,7.723639841234449313e-04
7.638190954773869945e-02,1.153907708711209013e-01,2.142360094346418102e-03
7.738693467336683895e-02,1.253766261341591748e-01,2.649192293213835023e-03
7.839195979899497846e-02,1.177974746785964144e-01,2.292860580725700897e-03
7.939698492462311796e-02,9.265331650443264788e-02,1.073364956882010522e-03
8.040201005025127134e-02,8.551789905235385181e-02,-9.469106105842738140e-04
8.140703517587941085e-02,1.142023735870663359e-01,-2.457763741859567228e-03
8.241206030150755035e-02,1.253565236094131563e-01,-3.004623075994639503e-03
8.341708542713568986e-02,1.189803491193942853e-01,-2.587488612989495302e-03
8.442211055276382936e-02,9.507385011700975053e-02,-1.206360352844133973e-03
8.542713567839196886e-02,8.997683080078745788e-02,1.011705643026930643e-03
8.643216080402010837e-02,1.164951973503751959e-01,2.603508806083222344e-03
8.743718592964824787e-02,1.254552996445927326e-01,3.168628920318859472e-03
8.844221105527638738e-02,1.168571376834401099e-01,2.707065985733835521e-03
8.944723618090452688e-02,9.070071146691729980e-02,1.218820002328158732e-03
9.045226130653266639e-02,8.712021755276261326e-02,-1.131834291318281529e-03
9.145728643216081977e-02,1.150475356978796077e-01,-2.781707858923670486e-03
9.246231155778895927e-02,1.254347542920956904e-01,-3.352494076977777151e-03
9.346733668341709877e-02,1.182818733354113194e-01,-2.844192945480630147e-03
9.447236180904523828e-02,9.358889282782653640e-02,-1.256804464432229908e-03
9.547738693467337778e-02,9.189404329483150113e-02,1.184107571134973948e-03
9.648241206030151729e-02,1.174574423238435306e-01,2.847203801312887111e-03
9.748743718592965679e-02,1.254711627197059864e-01,3.409596462348792045e-03
9.849246231155779630e-02,1.159352044824188410e-01,2.871285554242689400e-03
9.949748743718593580e-02,8.884956761198209430e-02,1.232271076994578525e-03
1.005025125628140753e-01,8.884956761198288533e-02,-1.232271077200414308e-03
1.015075376884422148e-01,1.159352044824509403e-01,-2.871285554553264317e-03
1.025125628140703682e-01,1.254711627198090151e-01,-3.409596462662725386e-03
1.035175879396985077e-01,1.174574423240568322e-01,-2.847203801528794698e-03
1.045226130653266472e-01,9.189404329519465509e-02,-1.184107571151478758e-03
1.055276381909547867e-01,9.358889282817975386e-02,1.256804464874682406e-03
1.065326633165829262e-01,1.182818733355524010e-01,2.844192946319239711e-03
1.075376884422110657e-01,1.254347542919859726e-01,3.352494077910862791e-03
1.085427135678392052e-01,1.150475356974804270e-01,2.781707859649553815e-03
1.095477386934673447e-01,8.712021755203577800e-02,1.131834291535316469e-03
1.105527638190954842e-01,9.070071146622731006e-02,-1.218820003017725842e-03
1.115577889447236237e-01,1.168571376831382541e-01,-2.707065987092522989e-03
1.125628140703517632e-01,1.254552996447159952e-01,-3.168628921851243934e-03
1.135678391959799166e-01,1.164951973509602973e-01,-2.603508807293869812e-03
1.145728643216080561e-01,8.997683080187143800e-02,-1.011705643420422089e-03
1.155778894472361956e-01,9.507385011801283703e-02,1.206360353782799785e-03
1.165829145728643351e-01,1.189803491198423019e-01,2.587488614845995932e-03
1.175879396984924746e-01,1.253565236092716306e-01,3.004623078090783075e-03
1.185929648241206141e-01,1.142023735863007955e-01,2.457763743517159261e-03
1.195979899497487536e-01,8.551789905092985200e-02,9.469106111251332719e-04
1.206030150753768931e-01,9.265331650314635736e-02,-1.073364958066664026e-03
1.216080402010050326e-01,1.177974746780205140e-01,-2.292860583048214607e-03
1.226130653266331721e-01,1.253766261343244870e-01,-2.649192295827966590e-03
1.236180904522613255e-01,1.153907708720579711e-01,-2.142360096405904798e-03
1.246231155778894650e-01,8.783990889122125778e-02,-7.723639847820424568e-04
1.256281407035176045e-01,9.637460774388974249e-02,1.022438163010798082e-03
1.266331658291457440e-01,1.195703776288976478e-01,2.093923981643469340e-03
1.276381909547738835e-01,1.252451250656951565e-01,2.399693077718166156e-03
1.286432160804020230e-01,1.133988500542822131e-01,1.939745451234886576e-03
1.296482412060301626e-01,8.403155259465885929e-02,7.140811021936297343e-04
1.306532663316583021e-01,9.467430410529065199e-02,-7.919707386908132925e-04
1.316582914572864416e-01,1.187346751386254562e-01,-1.655873652153481805e-03
1.326633165829145811e-01,1.252259906880974216e-01,-1.895754469084771172e-03
1.336683417085427206e-01,1.141482507537065205e-01,-1.511613189484680526e-03
1.346733668341708601e-01,8.550145533545272514e-02,-5.034498133532073734e-04
1.356783919597989996e-01,9.752687646800779764e-02,7.102079930539878082e-04
1.366834170854271391e-01,1.200725885055475839e-01,1.403479604443689990e-03
1.376884422110552786e-01,1.251056658905407570e-01,1.594928571159850766e-03
1.386934673366834181e-01,1.126261086229873587e-01,1.284554893202474908e-03
1.396984924623115853e-01,8.263391670288632029e-02,4.723585705715304317e-04
1.407035175879397249e-01,9.672099203107614729e-02,-3.861228608871295149e-04
1.417085427135678644e-01,1.196435695598937338e-01,-8.444656424714168602e-04
1.427135678391960039e-01,1.249965800445214104e-01,-9.731829251497386719e-04
1.437185929648241434e-01,1.127800234849591077e-01,-7.722747089220967929e-04
1.447236180904522829e-01,8.299389988120685346e-02,-2.417409937884899222e-04
1.457286432160804224e-01,9.857206092131889918e-02,2.911798639187459202e-04
1.467336683417085619e-01,1.205076030650466257e-01,5.765242026257211315e-04
1.477386934673367014e-01,1.249379111068253945e-01,6.661872296589643142e-04
1.487437185929648409e-01,1.118629850466552333e-01,5.601689450184757935e-04
1.497487437185929804e-01,8.128282488453611454e-02,2.584693487042562742e-04
1.507537688442211199e-01,9.874441689170712633e-02,1.180373023461701626e-04
1.517587939698492594e-01,1.204969331533867621e-01,7.649144260008877792e-05
1.527638190954773989e-01,1.246838300933633958e-01,3.993232193357209572e-05
1.537688442211055384e-01,1.113051077116370413e-01,8.359940346619878853e-06
1.547738693467336779e-01,8.036076600820765692e-02,-1.822570216076807936e-05
1.557788944723618174e-01,9.955174984954592854e-02,-1.974300097094613558e-04
1.567839195979899569e-01,1.208920021800109074e-01,-3.104949600637546504e-04
1.577889447236180964e-01,1.247339870592887867e-01,-2.981122972395284089e-04
1.587939698492462359e-01,1.110777044873795943e-01,-1.602820212367828210e-04
1.597989949748743754e-01,7.992315446428328862e-02,1.029958679444825740e-04
1.608040201005025427e-01,1.006916089213935606e-01,6.828836036196705376e-04
1.618090452261306822e-01,1.212652643010231068e-01,1.032781169568509601e-03
1.628140703517588217e-01,1.242830415526435806e-01,1.060094858436204639e-03
1.638190954773869612e-01,1.097449406762550095e-01,7.648246702227552186e-04
1.648241206030151007e-01,7.765096167185735199e-02,1.469706049281614474e-04
1.658291457286432402e-01,1.004998585897980135e-01,-7.040186242088900285e-04
1.668341708542713797e-01,1.212316172384389767e-01,-1.169596240109593410e-03
1.678391959798995192e-01,1.244734881944395133e-01,-1.202665655455697861e-03
1.688442211055276587e-01,1.102254714577996370e-01,-8.032268702472039265e-04
1.698492462311557982e-01,7.848756702851931999e-02,2.872011551588980489e-05
1.708542713567839377e-01,1.025032373009556741e-01,1.265980503564743606e-03
1.718592964824120772e-01,1.219103911914112132e-01,1.951567094427467987e-03
1.728643216080402167e-01,1.237801486514293337e-01,2.010869544554726596e-03
1.738693467336683562e-01,1.081125096810100356e-01,1.443887853946519651e-03
1.748743718592964957e-01,7.490747428015329112e-02,2.506220226028446044e-04
1.758793969849246352e-01,1.014260318662403432e-01,-1.161911072831993538e-03
1.768844221105527748e-01,1.215033770946278291e-01,-1.902489557918739466e-03
1.778894472361809143e-01,1.241061524208508515e-01,-1.946585801883333631e-03
1.788944723618090538e-01,1.092343578449093966e-01,-1.294199804725775817e-03
1.798994974874371933e-01,7.688799336680346430e-02,5.466843355393666086e-05
1.809045226130653328e-01,1.040913694883795482e-01,1.834441762508005761e-03
1.819095477386934723e-01,1.223525340212472112e-01,2.780454295658235219e-03
1.829145728643216395e-01,1.231118671688224697e-01,2.843228580821123563e-03
1.839195979899497790e-01,1.063693689311052543e-01,2.022764617996663638e-03
1.849246231155779185e-01,7.212503930809582853e-02,3.190624071848685616e-04
1.859296482412060580e-01,1.022649339045162142e-01,-1.478588483170482654e-03
1.869346733668341975e-01,1.215868202677479332e-01,-2.389027720120044489e-03
1.879396984924623371e-01,1.234530188698011594e-01,-2.409766555812626210e-03
1.889447236180904766e-01,1.078635297106759205e-01,-1.540804990248225217e-03
1.899497487437186161e-01,7.481835279037221675e-02,2.178569765731518766e-04
1.909547738693467556e-01,1.054502376852616552e-01,2.412793169586919476e-03
1.919597989949748951e-01,1.225209895198402510e-01,3.547369935245500705e-03
1.929648241206030346e-01,1.217508330663928107e-01,3.596062186179077927e-03
1.939698492462311741e-01,1.031397683249193065e-01,2.558869922387643769e-03
1.949748743718593136e-01,6.668779529541979390e-02,4.357931438712097792e-04
1.959798994974874531e-01,1.084288741633298719e-01,-1.312630225816278830e-03
1.969849246231155926e-01,1.241886075565668546e-01,-2.222284604374143765e-03
1.979899497487437321e-01,1.113703729937576270e-01,-2.306731026257419215e-03
1.989949748743718716e-01,6.997417047490213371e-02,-1.565969491466104530e-03
2.000000000000000111e-01,4.613801359570979083e-16,-2.013893069706096520e-16
